"LURN_SAK","INCIDENT_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","X_COORDINATE","Y_COORDINATE","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
18278123,"2017-07-24 22:56:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","S CRANE AVE & E CYPRESS ST, COMPTON, CA 90221","S CRANE AVE & E CYPRESS ST","COMPTON","90221",6498507.9814031292,1782630.4423908165,"017-09475-2843","2843","09475","CA0190042","COMPTON","N"
18280263,"2017-07-26 14:20:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","14800 CLARK AVE, HACIENDA HEIGHTS, CA","14800 CLARK AVE","HACIENDA HEIGHTS",,6567287.5855371468,1830288.613232471,"017-09193-1478","1478","09193","CA0190014","INDUSTRY","N"
18282808,"2017-07-28 20:30:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","ARTESIA BLVD & SAN GABRIEL RIVERBED, CERRITOS, CA","ARTESIA BLVD & SAN GABRIEL RIVERBED","CERRITOS",,6530583.5,1777442.624996,"017-03709-2310","2310","03709","CA01900R7","CERRITOS","N"
18284349,"2017-07-30 20:55:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","15000 S AVALON BLVD, GARDENA, CA 90248","15000 S AVALON BLVD","GARDENA","90248",6481233.1610869067,1784477.0924418513,"017-09759-2872","2872","09759","CA0190042","COMPTON","N"
18287795,"2017-08-03 00:44:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","44700 DIVISION ST, LANCASTER, CA 93535","44700 DIVISION ST","LANCASTER","93535",6522814.4193021348,2075330.0477258766,"017-15033-1132","1132","15033","CA0190024","LANCASTER","N"
18290031,"2017-08-05 00:02:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","1500 W 113TH ST, LOS ANGELES, CA 90047","1500 W 113TH ST","LOS ANGELES","90047",6469395.3360324018,1797657.1238824062,"017-07254-0374","0374","07254","CA0190003","SOUTH LOS ANGELES","N"
18290084,"2017-08-05 02:49:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","4100 W 105TH ST, LENNOX, CA","4100 W 105TH ST","LENNOX",,6456536.8904306507,1801078.9834969279,"017-07257-0381","0381","07257","CA0190003","SOUTH LOS ANGELES","N"
18290495,"2017-08-05 16:40:34","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","1100 S LONG BEACH BLVD, COMPTON, CA 90221","1100 S LONG BEACH BLVD","COMPTON","90221",6499226.6263150536,1780803.2696476027,"017-10032-2844","2844","10032","CA0190042","COMPTON","N"
18294920,"2017-08-09 21:58:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","2100 W COMPTON BLVD, COMPTON, CA","2100 W COMPTON BLVD","COMPTON",,6484834.568924794,1784577.1253670077,"017-10248-2830","2830","10248","CA0190042","COMPTON","N"
18296096,"2017-08-11 00:10:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","15600 S VISALIA AVE, GARDENA, CA","15600 S VISALIA AVE","GARDENA",,6482372.167692,1782507.677592,"017-10305-2873","2873","10305","CA0190042","COMPTON","N"
